case_id,stl,mask,planes_with_intersection,planes_all_contours_closed,slicability_fraction,slicability_pass,mesh_bbox_diagonal_mm,centroid_offset_mm,centroid_offset_pct_of_diagonal,bbox_max_error_mm,mask_spacing_mm,alignment_pass,status
811,outputs/phase_b_mesh_qc/case_outputs/811/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/811/seg_mask_0.5.nii.gz,50,50,1.0,True,160.54233514908813,0.12302412652136778,0.07663033330561753,0.30000507831573486,0.6000 0.6000 0.6000,True,ok
812,outputs/phase_b_mesh_qc/case_outputs/812/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/812/seg_mask_0.5.nii.gz,40,40,1.0,True,230.36720254436906,0.18873964877263966,0.08192991306403008,0.30002009868621826,0.6000 0.6000 0.6000,True,ok
813,outputs/phase_b_mesh_qc/case_outputs/813/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/813/seg_mask_0.5.nii.gz,50,48,0.96,False,167.21173096895137,0.10654338112163836,0.06371764738289912,0.300006628036499,0.6000 0.6000 0.6000,True,ok
814,outputs/phase_b_mesh_qc/case_outputs/814/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/814/seg_mask_0.5.nii.gz,41,41,1.0,True,217.42364772074794,0.09642901140567854,0.04435074676399916,0.3000063896179199,0.6000 0.6000 0.6000,True,ok
815,outputs/phase_b_mesh_qc/case_outputs/815/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/815/seg_mask_0.5.nii.gz,50,50,1.0,True,174.43600550613806,0.13571020232027695,0.07779942101202356,0.3000067472457886,0.6000 0.6000 0.6000,True,ok
816,outputs/phase_b_mesh_qc/case_outputs/816/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/816/seg_mask_0.5.nii.gz,38,38,1.0,True,176.96136128648763,0.11221536897524473,0.0634123563242578,0.30000627040863037,0.6000 0.6000 0.6000,True,ok
817,outputs/phase_b_mesh_qc/case_outputs/817/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/817/seg_mask_0.5.nii.gz,44,42,0.9545454545454546,False,175.6842668761427,0.09100849754800312,0.051802303738537996,0.3000028133392334,0.6000 0.6000 0.6000,True,ok
818,outputs/phase_b_mesh_qc/case_outputs/818/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/818/seg_mask_0.5.nii.gz,47,47,1.0,True,212.2321422319205,0.21154847655739598,0.09967786892817704,0.30000317096710205,0.6000 0.6000 0.6000,True,ok
819,outputs/phase_b_mesh_qc/case_outputs/819/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/819/seg_mask_0.5.nii.gz,47,45,0.9574468085106383,False,190.43739605191251,0.10064512556333069,0.052849454807655113,0.29999983310699463,0.6000 0.6000 0.6000,True,ok
820,outputs/phase_b_mesh_qc/case_outputs/820/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/820/seg_mask_0.5.nii.gz,45,45,1.0,True,178.68017219176537,0.1615756953072338,0.09042732236334848,0.30000627040863037,0.6000 0.6000 0.6000,True,ok
821,outputs/phase_b_mesh_qc/case_outputs/821/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/821/seg_mask_0.5.nii.gz,40,40,1.0,True,205.51839789141246,6.15318018757825,2.9939802230403423,0.3000054359436035,0.6000 0.6000 0.6000,True,ok
